"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"SG_UF";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"NR_SECAO";"NR_LOCAL_VOTACAO";"NM_LOCAL_VOTACAO";"CD_GENERO";"DS_GENERO";"CD_ESTADO_CIVIL";"DS_ESTADO_CIVIL";"CD_FAIXA_ETARIA";"DS_FAIXA_ETARIA";"CD_GRAU_ESCOLARIDADE";"DS_GRAU_ESCOLARIDADE";"CD_RACA_COR";"DS_RACA_COR";"CD_IDENTIDADE_GENERO";"DS_IDENTIDADE_GENERO";"CD_QUILOMBOLA";"DS_QUILOMBOLA";"CD_INTERPRETE_LIBRAS";"DS_INTERPRETE_LIBRAS";"TP_OBRIGATORIEDADE_VOTO";"QT_ELEITORES_PERFIL";"QT_ELEITORES_BIOMETRIA";"QT_ELEITORES_DEFICIENCIA";"QT_ELEITORES_INC_NM_SOCIAL"
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;34;1171;"EEEFM CAMILA MOTA";4;"FEMININO";3;"CASADO";7074;"70 a 74 anos                  ";3;"ENSINO FUNDAMENTAL INCOMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Facultativo";1;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;34;1171;"EEEFM CAMILA MOTA";4;"FEMININO";3;"CASADO";7579;"75 a 79 anos                  ";2;"LÊ E ESCREVE";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Facultativo";2;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;34;1171;"EEEFM CAMILA MOTA";4;"FEMININO";3;"CASADO";7579;"75 a 79 anos                  ";3;"ENSINO FUNDAMENTAL INCOMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Facultativo";2;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;34;1171;"EEEFM CAMILA MOTA";4;"FEMININO";3;"CASADO";8084;"80 a 84 anos                  ";1;"ANALFABETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Facultativo";1;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;34;1171;"EEEFM CAMILA MOTA";4;"FEMININO";3;"CASADO";8084;"80 a 84 anos                  ";2;"LÊ E ESCREVE";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Facultativo";1;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;34;1171;"EEEFM CAMILA MOTA";4;"FEMININO";3;"CASADO";8084;"80 a 84 anos                  ";3;"ENSINO FUNDAMENTAL INCOMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Facultativo";2;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;34;1171;"EEEFM CAMILA MOTA";4;"FEMININO";3;"CASADO";8589;"85 a 89 anos                  ";3;"ENSINO FUNDAMENTAL INCOMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Facultativo";2;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;34;1171;"EEEFM CAMILA MOTA";4;"FEMININO";9;"DIVORCIADO";4044;"40 a 44 anos                  ";8;"SUPERIOR COMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";1;1;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;34;1171;"EEEFM CAMILA MOTA";4;"FEMININO";9;"DIVORCIADO";5054;"50 a 54 anos                  ";8;"SUPERIOR COMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";1;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;35;1171;"EEEFM CAMILA MOTA";2;"MASCULINO";1;"SOLTEIRO";2124;"21 a 24 anos                  ";5;"ENSINO MÉDIO INCOMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";1;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;35;1171;"EEEFM CAMILA MOTA";2;"MASCULINO";1;"SOLTEIRO";2529;"25 a 29 anos                  ";3;"ENSINO FUNDAMENTAL INCOMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";2;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;35;1171;"EEEFM CAMILA MOTA";2;"MASCULINO";1;"SOLTEIRO";2529;"25 a 29 anos                  ";5;"ENSINO MÉDIO INCOMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";16;1;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;35;1171;"EEEFM CAMILA MOTA";2;"MASCULINO";1;"SOLTEIRO";2529;"25 a 29 anos                  ";6;"ENSINO MÉDIO COMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";3;2;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;40;1236;"NACCA-ANTIGO PETI";4;"FEMININO";3;"CASADO";3034;"30 a 34 anos                  ";6;"ENSINO MÉDIO COMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";3;1;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;40;1236;"NACCA-ANTIGO PETI";4;"FEMININO";3;"CASADO";3539;"35 a 39 anos                  ";3;"ENSINO FUNDAMENTAL INCOMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";2;1;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;40;1236;"NACCA-ANTIGO PETI";4;"FEMININO";3;"CASADO";3539;"35 a 39 anos                  ";5;"ENSINO MÉDIO INCOMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";1;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;40;1236;"NACCA-ANTIGO PETI";4;"FEMININO";3;"CASADO";3539;"35 a 39 anos                  ";6;"ENSINO MÉDIO COMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";5;1;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;40;1236;"NACCA-ANTIGO PETI";4;"FEMININO";3;"CASADO";4044;"40 a 44 anos                  ";3;"ENSINO FUNDAMENTAL INCOMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";1;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;40;1236;"NACCA-ANTIGO PETI";4;"FEMININO";3;"CASADO";4044;"40 a 44 anos                  ";7;"SUPERIOR INCOMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";2;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;40;1236;"NACCA-ANTIGO PETI";4;"FEMININO";3;"CASADO";4044;"40 a 44 anos                  ";8;"SUPERIOR COMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";2;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;40;1236;"NACCA-ANTIGO PETI";4;"FEMININO";3;"CASADO";4549;"45 a 49 anos                  ";5;"ENSINO MÉDIO INCOMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";2;1;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;40;1236;"NACCA-ANTIGO PETI";4;"FEMININO";3;"CASADO";4549;"45 a 49 anos                  ";6;"ENSINO MÉDIO COMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";2;1;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;40;1236;"NACCA-ANTIGO PETI";4;"FEMININO";3;"CASADO";4549;"45 a 49 anos                  ";7;"SUPERIOR INCOMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";1;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;40;1236;"NACCA-ANTIGO PETI";4;"FEMININO";3;"CASADO";4549;"45 a 49 anos                  ";8;"SUPERIOR COMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";1;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;40;1236;"NACCA-ANTIGO PETI";4;"FEMININO";3;"CASADO";5054;"50 a 54 anos                  ";4;"ENSINO FUNDAMENTAL COMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";2;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;40;1236;"NACCA-ANTIGO PETI";4;"FEMININO";3;"CASADO";5054;"50 a 54 anos                  ";6;"ENSINO MÉDIO COMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";2;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;40;1236;"NACCA-ANTIGO PETI";4;"FEMININO";3;"CASADO";5054;"50 a 54 anos                  ";8;"SUPERIOR COMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";2;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;40;1236;"NACCA-ANTIGO PETI";4;"FEMININO";3;"CASADO";5559;"55 a 59 anos                  ";3;"ENSINO FUNDAMENTAL INCOMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";1;1;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;40;1236;"NACCA-ANTIGO PETI";4;"FEMININO";3;"CASADO";5559;"55 a 59 anos                  ";5;"ENSINO MÉDIO INCOMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";1;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;40;1236;"NACCA-ANTIGO PETI";4;"FEMININO";3;"CASADO";5559;"55 a 59 anos                  ";6;"ENSINO MÉDIO COMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";1;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;40;1236;"NACCA-ANTIGO PETI";4;"FEMININO";3;"CASADO";5559;"55 a 59 anos                  ";8;"SUPERIOR COMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";2;1;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;40;1236;"NACCA-ANTIGO PETI";4;"FEMININO";3;"CASADO";6064;"60 a 64 anos                  ";3;"ENSINO FUNDAMENTAL INCOMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";2;1;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;40;1236;"NACCA-ANTIGO PETI";4;"FEMININO";3;"CASADO";6064;"60 a 64 anos                  ";6;"ENSINO MÉDIO COMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";2;1;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;40;1236;"NACCA-ANTIGO PETI";4;"FEMININO";3;"CASADO";6569;"65 a 69 anos                  ";1;"ANALFABETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Facultativo";2;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;40;1236;"NACCA-ANTIGO PETI";4;"FEMININO";3;"CASADO";6569;"65 a 69 anos                  ";3;"ENSINO FUNDAMENTAL INCOMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";2;1;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;40;1236;"NACCA-ANTIGO PETI";4;"FEMININO";3;"CASADO";6569;"65 a 69 anos                  ";6;"ENSINO MÉDIO COMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";3;1;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;40;1236;"NACCA-ANTIGO PETI";4;"FEMININO";3;"CASADO";7579;"75 a 79 anos                  ";1;"ANALFABETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Facultativo";1;1;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;40;1236;"NACCA-ANTIGO PETI";4;"FEMININO";3;"CASADO";8084;"80 a 84 anos                  ";3;"ENSINO FUNDAMENTAL INCOMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Facultativo";1;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;40;1236;"NACCA-ANTIGO PETI";4;"FEMININO";5;"VIÚVO";5054;"50 a 54 anos                  ";6;"ENSINO MÉDIO COMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";2;1;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;40;1236;"NACCA-ANTIGO PETI";4;"FEMININO";5;"VIÚVO";6064;"60 a 64 anos                  ";3;"ENSINO FUNDAMENTAL INCOMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";1;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;40;1236;"NACCA-ANTIGO PETI";4;"FEMININO";5;"VIÚVO";7074;"70 a 74 anos                  ";3;"ENSINO FUNDAMENTAL INCOMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Facultativo";2;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;40;1236;"NACCA-ANTIGO PETI";4;"FEMININO";5;"VIÚVO";7074;"70 a 74 anos                  ";6;"ENSINO MÉDIO COMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Facultativo";1;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;13;1058;"EEEF ENGANO";4;"FEMININO";9;"DIVORCIADO";5559;"55 a 59 anos                  ";6;"ENSINO MÉDIO COMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";1;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;13;1058;"EEEF ENGANO";4;"FEMININO";9;"DIVORCIADO";6064;"60 a 64 anos                  ";8;"SUPERIOR COMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";1;1;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;14;1066;"SALÃO DA IGREJA CATÓLICA DE SÃO BENTO DE BATATAL";2;"MASCULINO";1;"SOLTEIRO";1900;"19 anos                       ";3;"ENSINO FUNDAMENTAL INCOMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";1;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;14;1066;"SALÃO DA IGREJA CATÓLICA DE SÃO BENTO DE BATATAL";2;"MASCULINO";1;"SOLTEIRO";2124;"21 a 24 anos                  ";3;"ENSINO FUNDAMENTAL INCOMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";1;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;14;1066;"SALÃO DA IGREJA CATÓLICA DE SÃO BENTO DE BATATAL";2;"MASCULINO";1;"SOLTEIRO";2124;"21 a 24 anos                  ";6;"ENSINO MÉDIO COMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";1;1;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;14;1066;"SALÃO DA IGREJA CATÓLICA DE SÃO BENTO DE BATATAL";2;"MASCULINO";1;"SOLTEIRO";2124;"21 a 24 anos                  ";7;"SUPERIOR INCOMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";1;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;14;1066;"SALÃO DA IGREJA CATÓLICA DE SÃO BENTO DE BATATAL";2;"MASCULINO";1;"SOLTEIRO";2529;"25 a 29 anos                  ";3;"ENSINO FUNDAMENTAL INCOMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";1;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;14;1066;"SALÃO DA IGREJA CATÓLICA DE SÃO BENTO DE BATATAL";2;"MASCULINO";1;"SOLTEIRO";2529;"25 a 29 anos                  ";5;"ENSINO MÉDIO INCOMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";6;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;14;1066;"SALÃO DA IGREJA CATÓLICA DE SÃO BENTO DE BATATAL";2;"MASCULINO";1;"SOLTEIRO";2529;"25 a 29 anos                  ";6;"ENSINO MÉDIO COMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";2;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;14;1066;"SALÃO DA IGREJA CATÓLICA DE SÃO BENTO DE BATATAL";2;"MASCULINO";1;"SOLTEIRO";2529;"25 a 29 anos                  ";7;"SUPERIOR INCOMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";1;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;14;1066;"SALÃO DA IGREJA CATÓLICA DE SÃO BENTO DE BATATAL";2;"MASCULINO";1;"SOLTEIRO";3034;"30 a 34 anos                  ";4;"ENSINO FUNDAMENTAL COMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";1;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;14;1066;"SALÃO DA IGREJA CATÓLICA DE SÃO BENTO DE BATATAL";2;"MASCULINO";1;"SOLTEIRO";3034;"30 a 34 anos                  ";5;"ENSINO MÉDIO INCOMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";8;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;17;1090;"EMEF FELIPE MODOLO";4;"FEMININO";1;"SOLTEIRO";2529;"25 a 29 anos                  ";3;"ENSINO FUNDAMENTAL INCOMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";1;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;17;1090;"EMEF FELIPE MODOLO";4;"FEMININO";1;"SOLTEIRO";2529;"25 a 29 anos                  ";5;"ENSINO MÉDIO INCOMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";2;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;17;1090;"EMEF FELIPE MODOLO";4;"FEMININO";1;"SOLTEIRO";2529;"25 a 29 anos                  ";6;"ENSINO MÉDIO COMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";2;1;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;17;1090;"EMEF FELIPE MODOLO";4;"FEMININO";1;"SOLTEIRO";2529;"25 a 29 anos                  ";8;"SUPERIOR COMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";2;2;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;17;1090;"EMEF FELIPE MODOLO";4;"FEMININO";1;"SOLTEIRO";3034;"30 a 34 anos                  ";3;"ENSINO FUNDAMENTAL INCOMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";1;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;17;1090;"EMEF FELIPE MODOLO";4;"FEMININO";1;"SOLTEIRO";3034;"30 a 34 anos                  ";4;"ENSINO FUNDAMENTAL COMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";1;1;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;17;1090;"EMEF FELIPE MODOLO";4;"FEMININO";1;"SOLTEIRO";3034;"30 a 34 anos                  ";5;"ENSINO MÉDIO INCOMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";4;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;17;1090;"EMEF FELIPE MODOLO";4;"FEMININO";1;"SOLTEIRO";3034;"30 a 34 anos                  ";6;"ENSINO MÉDIO COMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";1;1;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;20;1112;"SALÃO DA IGREJA CATÓLICA DE CACHOEIRA ALTA";4;"FEMININO";1;"SOLTEIRO";1900;"19 anos                       ";5;"ENSINO MÉDIO INCOMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";1;1;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;20;1112;"SALÃO DA IGREJA CATÓLICA DE CACHOEIRA ALTA";4;"FEMININO";1;"SOLTEIRO";1900;"19 anos                       ";6;"ENSINO MÉDIO COMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";1;1;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;20;1112;"SALÃO DA IGREJA CATÓLICA DE CACHOEIRA ALTA";4;"FEMININO";1;"SOLTEIRO";2124;"21 a 24 anos                  ";1;"ANALFABETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Facultativo";1;0;1;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;20;1112;"SALÃO DA IGREJA CATÓLICA DE CACHOEIRA ALTA";4;"FEMININO";1;"SOLTEIRO";2124;"21 a 24 anos                  ";5;"ENSINO MÉDIO INCOMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";3;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;20;1112;"SALÃO DA IGREJA CATÓLICA DE CACHOEIRA ALTA";4;"FEMININO";1;"SOLTEIRO";2124;"21 a 24 anos                  ";6;"ENSINO MÉDIO COMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";3;2;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;20;1112;"SALÃO DA IGREJA CATÓLICA DE CACHOEIRA ALTA";4;"FEMININO";1;"SOLTEIRO";2124;"21 a 24 anos                  ";7;"SUPERIOR INCOMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";3;2;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;20;1112;"SALÃO DA IGREJA CATÓLICA DE CACHOEIRA ALTA";4;"FEMININO";1;"SOLTEIRO";2124;"21 a 24 anos                  ";8;"SUPERIOR COMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";1;1;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;20;1112;"SALÃO DA IGREJA CATÓLICA DE CACHOEIRA ALTA";4;"FEMININO";1;"SOLTEIRO";2529;"25 a 29 anos                  ";5;"ENSINO MÉDIO INCOMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";5;1;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;20;1112;"SALÃO DA IGREJA CATÓLICA DE CACHOEIRA ALTA";4;"FEMININO";1;"SOLTEIRO";2529;"25 a 29 anos                  ";6;"ENSINO MÉDIO COMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";4;1;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;20;1112;"SALÃO DA IGREJA CATÓLICA DE CACHOEIRA ALTA";4;"FEMININO";1;"SOLTEIRO";2529;"25 a 29 anos                  ";7;"SUPERIOR INCOMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";2;1;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;20;1112;"SALÃO DA IGREJA CATÓLICA DE CACHOEIRA ALTA";4;"FEMININO";1;"SOLTEIRO";3034;"30 a 34 anos                  ";3;"ENSINO FUNDAMENTAL INCOMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";1;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;20;1112;"SALÃO DA IGREJA CATÓLICA DE CACHOEIRA ALTA";4;"FEMININO";1;"SOLTEIRO";3034;"30 a 34 anos                  ";4;"ENSINO FUNDAMENTAL COMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";1;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;20;1112;"SALÃO DA IGREJA CATÓLICA DE CACHOEIRA ALTA";4;"FEMININO";1;"SOLTEIRO";3034;"30 a 34 anos                  ";5;"ENSINO MÉDIO INCOMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";3;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;20;1112;"SALÃO DA IGREJA CATÓLICA DE CACHOEIRA ALTA";4;"FEMININO";1;"SOLTEIRO";3034;"30 a 34 anos                  ";6;"ENSINO MÉDIO COMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";1;0;0;0
"09/05/2022";"16:57:54";2020;"ES";"56057";"ALFREDO CHAVES";12;20;1112;"SALÃO DA IGREJA CATÓLICA DE CACHOEIRA ALTA";4;"FEMININO";1;"SOLTEIRO";3539;"35 a 39 anos                  ";3;"ENSINO FUNDAMENTAL INCOMPLETO";-3;"#NE";-3;"#NE";-3;"#NE";-3;"#NE";"Obrigatório";1;0;0;0
